AID,SLID,ELID
1,8480,8583
2,8584,8676
3,8677,8744
4,8745,8969
5,8970,9032
6,9033,9479
7,9480,9651
8,9652,9952
9,9953,10247
10,10248,10411
11,10412,10550
12,10551,10734
13,10735,10809
14,10810,10888
15,10889,10958
16,10959,11073
18,11181,11315
19,11316,11392
20,11393,11467
21,11468,11547
22,11548,11604
23,11605,11647
24,11648,11699
25,11700,12000
26,12001,12029
181,12989,12992
182,12993,12996
183,12997,13000
184,13001,13004
185,13005,13008
186,13009,13012
187,13013,13016
188,13017,13020
189,13021,13024
190,13025,13028
191,13029,13032
192,13033,13036
193,13037,13040
194,13041,13044
195,13045,13048
196,13049,13052
197,13053,13056
198,13057,13060
199,13061,13064
200,13065,13068
201,13069,13072
202,13073,13076
203,13077,13080
204,13081,13084
205,13085,13088
206,13089,13092
207,13093,13112
208,13113,13132
209,13133,13139
210,13140,13146
211,13147,13153
212,13154,13160
213,13161,13167
214,13168,13171
215,13172,13175
216,13176,13182
217,13183,13186
218,13187,13190
219,13191,13197
220,13198,13204
221,13205,13211
222,13212,13222
223,13223,13241
224,13242,13259
225,13260,13277
226,13278,13294
227,13295,13309
228,13310,13328
229,13329,13346
230,13347,13365
231,13366,13384
232,13385,13402
233,13403,13420
234,13421,13427
235,13428,13442
236,13443,13446
237,13447,13453
238,13454,13467
239,13468,13471
240,13472,13490
241,13491,13508
242,13509,13525
243,13526,13541
244,13542,13557
245,13558,13575
246,13576,13590
247,13591,13598
248,13599,13617
249,13618,13634
250,13635,13650
251,13651,13666
252,13667,13684
253,13685,13703
254,13704,13721
255,13722,13739
256,13740,13757
257,13758,13775
258,13776,13793
259,13794,13811
260,13812,13833
261,13834,13840
262,13841,13856
263,13857,13860
264,13861,13867
265,13868,13881
266,13882,13885
267,13886,13903
268,13904,13910
269,13911,13924
270,13925,13928
271,13929,13932
272,13933,13936
273,13937,13940
274,13941,13944
275,13945,13954
276,13955,13962
277,13963,13966
278,13967,13970
279,13971,13974
280,13975,14032
281,14033,14036
282,14037,14051
283,14052,14099
284,14100,14105
285,14106,14119
286,14120,14129
287,14130,14133
288,14134,14137
289,14138,14141
290,14142,14145
291,14146,14152
292,14153,14156
293,14157,14160
294,14161,14164
295,14165,14168
296,14169,14172
297,14173,14176
298,14177,14180
299,14181,14190
300,14191,14197
301,14198,14201
302,14202,14205
303,14206,14209
304,14210,14213
305,14214,14217
306,14218,14221
307,14222,14225
308,14226,14235
309,14236,14242
310,14243,14246
311,14247,14250
312,14251,14254
313,14255,14258
314,14259,14262
315,14263,14266
316,14267,14270
317,14271,14280
318,14281,14287
319,14288,14291
320,14292,14295
321,14296,14299
322,14300,14314
323,14315,14353
324,14354,14357
325,14358,14363
326,14364,14367
327,14368,14371
328,14372,14375
329,14376,14379
330,14380,14389
331,14390,14396
332,14397,14400
333,14401,14404
334,14405,14408
335,14409,14412
336,14413,14416
337,14417,14420
338,14421,14424
339,14425,14434
340,14435,14441
341,14442,14445
342,14446,14449
343,14450,14453
344,14454,14458
345,14459,14462
346,14463,14466
347,14467,14470
348,14471,14481
349,14482,14491
350,14492,14506
351,14507,14510
352,14511,14514
353,14515,14518
354,14519,14522
355,14523,14535
356,14536,14539
357,14540,14573
358,14574,14577
359,14578,14584
360,14585,14597
361,14598,14609
362,14610,14624
363,15565,15630
364,15631,15694
365,15695,15708
389,15813,15912
390,15913,16094
391,16095,16374
392,16375,16498
393,16499,16517
394,16518,16524
395,16525,16528
396,16529,16535
397,16536,16539
398,16540,16552
399,16553,16557
400,16558,16562
401,16563,16575
402,16576,16588
403,16589,16600
404,16601,16612
405,16613,16624
406,16625,16636
407,16637,16640
408,16714,16752
409,16753,16784
410,16785,16830
411,16831,16875
412,16876,16917
413,16918,16951
414,16952,17007
415,17008,17049
416,17050,17093
417,17094,17131
418,17132,17171
419,17172,17216
420,17217,17257
421,17258,17308
422,17309,17312
423,17313,17326
424,17327,17332
425,17333,17337
426,17338,17341
427,17342,17347
428,17348,17351
429,17352,17355
430,17356,17359
431,17360,17363
432,17364,17367
433,17368,17371
434,17372,17375
435,17376,17379
436,17380,17383
437,17384,17387
438,17388,17391
439,17392,17395
440,17396,17399
441,17400,17403
442,17404,17407
443,17408,17411
444,17412,17415
445,17416,17420
446,17421,17424
447,17425,17429
448,17430,17433
449,17434,17437
450,17438,17441
451,17442,17445
452,17446,17449
453,17450,17453
454,17454,17457
455,17458,17461
456,17462,17465
457,17466,17469
458,17470,17473
459,17474,17477
460,17478,17481
461,17482,17485
462,17486,17489
463,17490,17493
464,17494,17497
465,17498,17501
466,17502,17505
467,17506,17509
468,17510,17513
469,17514,17518
470,17519,17522
471,17523,17526
472,17527,17530
473,17531,17534
474,17535,17538
475,17539,17542
476,17543,17546
477,17547,17550
478,17551,17554
479,17555,17558
480,17559,17562
481,17563,17566
482,17567,17571
483,17572,17575
484,17576,17579
485,17580,17583
486,17584,17587
487,17588,17591
488,17592,17595
489,17596,17599
490,17600,17603
491,17604,17607
492,17608,17611
493,17612,17615
494,17616,17619
495,17620,17623
496,17624,17627
497,17628,17631
498,17632,17635
499,17636,17639
500,17640,17643
501,17644,17647
502,17648,17651
503,17652,17655
504,17656,17659
505,17660,17663
506,17664,17667
507,17668,17671
508,17672,17675
509,17676,17679
510,17680,17683
511,17684,17687
512,17688,17691
513,17692,17695
514,17696,17699
515,17700,17703
516,17704,17707
517,17708,17711
518,17712,17715
519,17716,17719
520,17720,17723
521,17724,17727
522,17728,17731
523,17732,17735
524,17736,17739
525,17740,17743
526,17744,17747
527,17748,17751
528,17752,17755
529,17756,17759
530,17760,17763
531,17764,17767
532,17768,17771
533,17772,17775
534,17776,17779
535,17780,17783
536,17784,17787
537,17788,17791
538,17792,17795
539,17796,17799
540,17800,17803
541,17804,17807
542,17808,17811
543,17812,17815
544,17816,17819
545,17820,17823
546,17824,17827
547,17828,17831
548,17832,17835
549,17836,17840
550,17841,17844
551,17845,17848
552,17849,17852
553,17853,17856
554,17857,17860
555,17861,17864
556,17865,17868
557,17869,17873
558,17874,17877
559,17878,17881
560,17882,17885
561,17886,17889
562,17890,17893
563,17894,17897
564,17898,17901
565,17902,17905
566,17906,17909
567,17910,17913
568,17914,17917
569,17918,17921
570,17922,17925
571,17926,17929
572,17930,17933
573,17934,17937
574,17938,17941
575,17942,17945
576,17946,17950
577,17951,17954
578,17955,17958
579,17959,17962
580,17963,17966
581,17967,17970
582,17971,17974
583,17975,17978
584,17979,17982
585,17983,17986
586,17987,17990
587,17991,17994
588,17995,17998
589,17999,18002
590,18003,18006
591,18007,18010
592,18011,18014
593,18015,18018
594,18019,18022
595,18023,18026
596,18027,18030
597,18031,18034
598,18035,18038
599,18039,18042
600,18043,18046
601,18047,18050
602,18051,18054
603,18055,18058
604,18059,18062
605,18063,18066
606,18067,18070
607,18071,18074
608,18075,18078
609,18079,18082
610,18083,18086
611,18087,18090
612,18091,18094
613,18095,18098
614,18099,18102
615,18103,18106
616,18107,18110
617,18111,18114
618,18115,18118
619,18119,18122
620,18123,18126
621,18127,18130
622,18131,18134
623,18135,18138
624,18139,18142
625,18143,18146
626,18147,18150
627,18151,18154
628,18155,18158
629,18159,18162
630,18163,18166
631,18167,18170
632,18171,18174
633,18175,18178
634,18179,18182
635,18183,18186
636,18187,18190
637,18191,18194
638,18195,18198
639,18199,18202
640,18203,18207
641,18208,18211
642,18212,18215
643,18216,18219
644,18220,18223
645,18224,18227
646,18228,18231
647,18232,18235
648,18236,18239
649,18240,18243
650,18244,18247
651,18248,18251
652,18252,18255
653,18256,18259
654,18260,18263
655,18264,18267
656,18268,18271
657,18272,18275
658,18276,18279
659,18280,18283
660,18284,18287
661,18288,18291
662,18292,18295
663,18296,18299
664,18300,18303
665,18304,18307
666,18308,18311
667,18312,18315
668,18316,18319
669,18320,18323
670,18324,18327
671,18328,18331
672,18332,18339
673,18340,18346
674,18347,18350
675,18351,18354
676,18355,18358
677,18359,18362
678,18363,18366
679,18367,18370
680,18371,18374
681,18375,18378
682,18379,18383
683,18384,18390
684,18391,18396
685,18397,18400
686,18401,18405
687,18406,18409
688,18410,18413
689,18414,18417
690,18418,18421
691,18422,18426
692,18427,18430
693,18431,18434
694,18435,18438
695,18439,18442
696,18443,18446
697,18447,18450
698,18451,18454
699,18455,18459
700,18460,18464
701,18465,18468
702,18469,18472
703,18473,18476
704,18477,18481
705,18482,18485
706,18486,18489
707,18490,18493
708,18494,18497
709,18498,18501
710,18502,18506
711,18507,18510
712,18511,18514
713,18515,18518
714,18519,18522
715,18523,18526
716,18527,18530
717,18531,18535
718,18536,18541
719,18542,18545
720,18546,18549
721,18550,18553
722,18554,18557
723,18558,18562
724,18563,18566
725,18567,18570
726,18571,18574
727,18575,18578
728,18579,18584
729,18585,18588
730,18589,18593
731,18594,18597
732,18598,18603
733,18604,18607
734,18608,18613
735,18614,18618
736,18619,18622
737,18623,18626
738,18627,18630
739,18631,18634
740,18635,18638
741,18639,18643
742,18644,18647
743,18648,18651
744,18652,18658
745,18659,18663
746,18664,18667
747,18668,18671
748,18672,18675
749,18676,18679
750,18680,18685
751,18686,18692
752,18693,18696
753,18697,18700
754,18701,18704
755,18705,18708
756,18709,18713
757,18714,18718
758,18719,18722
759,18723,18727
760,18728,18731
761,18732,18738
762,18739,18742
763,18743,18747
764,18748,18752
765,18753,18756
766,18757,18760
767,18761,18764
768,18765,18768
769,18769,18773
770,18774,18777
771,18778,18781
772,18782,18785
773,18786,18792
774,18793,18796
775,18797,18802
776,18803,18806
777,18807,18812
778,18813,18816
779,18817,18820
780,18821,18824
781,18825,18829
782,18830,18835
783,18836,18841
784,18842,18845
785,18846,18849
786,18850,18853
787,18854,18858
788,18859,18862
789,18863,18866
790,18867,18870
791,18871,18877
792,18878,18882
793,18883,18886
794,18887,18890
795,18891,18896
796,18897,18901
797,18902,18905
798,18906,18909
799,18910,18913
800,18914,18918
801,18919,18923
802,18924,18927
803,18928,18931
804,18932,18938
805,18939,18945
806,18946,18958
807,18959,18971
808,18972,18978
809,18979,18985
810,18986,18989
811,18990,18993
812,18994,19000
813,19001,19007
814,19008,19019
815,19020,19031
816,19032,19038
817,19039,19045
818,19046,19058
819,19059,19065
820,19066,19072
821,19073,19085
822,19086,19089
823,19090,19093
824,19094,19097
825,19098,19101
826,19102,19105
827,19106,19109
828,19110,19113
829,19114,19126
830,19127,19133
831,19134,19137
832,19138,19150
833,19151,19157
834,19158,19170
835,19171,19177
836,19178,19190
837,19191,19197
838,19198,19208
839,19209,19219
840,19220,19230
841,19231,19241
842,19242,19254
843,19255,19261
844,19262,19268
845,19269,19281
846,19282,19288
847,19289,19295
848,19296,19302
849,19303,19309
850,19310,19316
851,19317,19329
852,19330,19336
853,19337,19343
854,19344,19356
855,19357,19363
856,19364,19370
857,19371,19374
858,19375,19378
859,19379,19391
860,19392,19398
861,19399,19405
862,19406,19409
863,19410,19422
864,19423,19429
865,19430,19436
866,19437,19443
867,19444,19450
868,19451,19463
869,19464,19470
870,19471,19477
871,19478,19490
872,19491,19497
873,19498,19504
874,19505,19517
875,19518,19524
876,19525,19531
877,19532,19550
878,19551,19557
879,19558,19570
880,19571,19577
881,19578,19590
882,19591,19597
883,19598,19609
884,19610,19621
885,19622,19633
886,19634,19645
887,19646,19658
888,19659,19665
889,19666,19672
890,19673,19685
891,19686,19692
892,19693,19699
893,19700,19718
894,19719,19725
895,19726,19732
896,19733,19751
897,19752,19764
898,19765,19771
899,19772,19784
900,19785,19791
901,19792,19804
902,19805,19811
903,19812,19818
904,19819,19831
905,19832,19838
906,19839,19845
907,19846,19849
908,19850,19853
909,19854,19860
910,19861,19864
911,19865,19868
912,19869,19875
913,19876,19882
914,19883,19889
915,19890,19902
916,19903,19909
917,19910,19922
918,19923,19929
919,19930,19946
920,19947,19957
921,19958,19968
922,19969,19979
923,19980,19990
